condition;lambda;gen_time;temp;food
inter_20;1.00839987295952;156.336035287171;20;inter
inter_20;0.991839664670624;150.601791169298;20;inter
inter_20;1.00483291642525;150.471923425443;20;inter
inter_20;1.01545474998044;165.637046807567;20;inter
inter_20;0.994025341500345;149.119370673042;20;inter
inter_20;1.00099600746009;142.984229667665;20;inter
inter_20;0.998669912417638;149.575644289084;20;inter
inter_20;0.995317052775244;145.835797280258;20;inter
inter_20;1.01095513446585;158.052142756375;20;inter
inter_20;1.00093016871072;152.805021684325;20;inter
inter_20;1.0003893671449;150.986842110233;20;inter
inter_20;1.00152704901947;151.513234381508;20;inter
inter_20;0.998217094344854;156.201387847878;20;inter
inter_20;1.0087817054975;171.178565134278;20;inter
inter_20;1.00046786725162;150.976002323348;20;inter
inter_20;0.99715849022932;152.345531727163;20;inter
inter_20;0.999623460400596;146.712978104517;20;inter
inter_20;1.0082208984004;153.089218554858;20;inter
inter_20;0.993799281387283;149.588738282073;20;inter
inter_20;1.00112571759415;151.018440985469;20;inter
inter_20;1.00096479825595;149.106915535346;20;inter
inter_20;0.999519092921361;152.026539682964;20;inter
inter_20;1.00827530078679;155.481446554593;20;inter
inter_20;1.00688244928124;152.400572459277;20;inter
inter_20;1.00803175979798;150.441334457771;20;inter
inter_20;1.00234232801893;148.297696695272;20;inter
inter_20;1.00242300960621;148.157613406022;20;inter
inter_20;1.01010360228217;151.274195417099;20;inter
inter_20;1.00509406982148;148.78537161555;20;inter
inter_20;1.00312056539693;153.495574656039;20;inter
inter_20;1.00442301752267;149.017762679799;20;inter
inter_20;1.00696869797823;153.643667180354;20;inter
inter_20;1.00111486465746;152.036703360734;20;inter
inter_20;0.995070330665142;149.031962299456;20;inter
inter_20;1.00411643533594;150.520152862581;20;inter
inter_20;1.0010161317473;150.802169040318;20;inter
inter_20;0.994395049129116;139.144517821573;20;inter
inter_20;0.998441839434979;148.749264581693;20;inter
inter_20;0.999692855313081;150.103479866826;20;inter
inter_20;1.00335867523094;150.092027854236;20;inter
inter_20;0.998714910128421;142.209027694388;20;inter
inter_20;1.00499247294339;154.031186807786;20;inter
inter_20;1.00146986055868;153.516106422785;20;inter
inter_20;1.00172869835303;149.827503833618;20;inter
inter_20;0.996113302132528;150.762456790226;20;inter
inter_20;1.00170431226833;149.394094701767;20;inter
inter_20;1.00533915898059;150.62975463438;20;inter
inter_20;1.00103935940933;150.200846368878;20;inter
inter_20;0.997707020114192;147.527026891143;20;inter
inter_20;0.99608309178178;147.18516634224;20;inter
inter_20;1.00165158727297;153.648855773301;20;inter
inter_20;1.00203880647439;153.797975885728;20;inter
inter_20;1.00921053383735;153.478314913461;20;inter
inter_20;0.996868283829754;152.986842687734;20;inter
inter_20;0.995799015453565;147.964118298259;20;inter
inter_20;1.00370729107206;149.625250318763;20;inter
inter_20;1.00718859761474;151.696369209258;20;inter
inter_20;1.00100141169096;150.346571634988;20;inter
inter_20;1.00184283293595;154.483403210122;20;inter
inter_20;1.00686910144978;160.799896390734;20;inter
inter_20;1.00730807420339;154.790448630664;20;inter
inter_20;1.00146065142237;158.635866749278;20;inter
inter_20;0.996545565830483;153.571140973391;20;inter
inter_20;1.00437998005774;154.298198554875;20;inter
inter_20;1.00275192679596;149.946423385065;20;inter
inter_20;1.00394473050708;154.449450830832;20;inter
inter_20;0.999949019062555;152.020998398226;20;inter
inter_20;1.0034745199385;145.881514497014;20;inter
inter_20;1.00304172395149;151.640609487279;20;inter
inter_20;1.00611254772607;140.856999575607;20;inter
inter_20;0.999503032242658;151.791697534849;20;inter
inter_20;1.00848301326493;150.99442750681;20;inter
inter_20;1.00525607259746;150.390894513258;20;inter
inter_20;1.00370431678116;149.859391607074;20;inter
inter_20;1.00121421337092;152.449919214741;20;inter
inter_20;0.998232425913813;152.998599127404;20;inter
inter_20;1.01216304210499;160.916710486643;20;inter
inter_20;0.998297654446918;146.252394286776;20;inter
inter_20;1.00263626486062;154.742308314255;20;inter
inter_20;1.00895620353351;157.676974890915;20;inter
inter_20;0.999279867918075;150.023550633031;20;inter
inter_20;0.99468810353238;146.373947364253;20;inter
inter_20;1.00075502296897;144.126574358395;20;inter
inter_20;1.00297181508469;152.589225851627;20;inter
inter_20;0.996737676346935;145.800883627844;20;inter
inter_20;1.0048674193848;151.786419494387;20;inter
inter_20;1.00531853537502;159.526726837534;20;inter
inter_20;1.0082696605537;156.559440119251;20;inter
inter_20;1.00774414835187;155.578073530781;20;inter
inter_20;0.99652255184115;151.89253208831;20;inter
inter_20;1.00071072294741;147.070727636653;20;inter
inter_20;1.00674581419345;152.142538423792;20;inter
inter_20;0.997929983566837;149.035214487932;20;inter
inter_20;1.0023878226635;152.693895922561;20;inter
inter_20;1.00499046278823;154.875774344411;20;inter
